sprint_id,team_id,team_name,sprint_name,start_date,end_date,committed_points,completed_points,velocity_completion_pct,avg_cycle_time_days,bugs_logged,completed_points_normalized,cycle_time_zscore,velocity_rank
SPRINT-001,TEAM-ALPHA,Backend Core,Sprint 41.1,2026-04-06,2026-04-17,36,35,97.2,2.9,4,0.6333333333333333,-0.9348416595396158,10
SPRINT-001,TEAM-ALPHA,Backend Core,Sprint 41.2,2026-04-06,2026-04-17,36,33,91.7,2.7,3,0.5666666666666667,-1.0263349982168053,36
SPRINT-001,TEAM-ALPHA,Backend Core,Sprint 41.3,2026-04-06,2026-04-17,33,29,87.9,3.8,1,0.43333333333333335,-0.5231216354922635,64
SPRINT-001,TEAM-ALPHA,Backend Core,Sprint 41.4,2026-04-06,2026-04-17,31,29,93.5,4.4,2,0.43333333333333335,-0.24864161946069493,23
SPRINT-001,TEAM-ALPHA,Backend Core,Sprint 41.5,2026-04-06,2026-04-17,30,27,90.0,3.5,4,0.36666666666666664,-0.6603616435080476,50
SPRINT-001,TEAM-ALPHA,Backend Core,Sprint 41.6,2026-04-06,2026-04-17,46,43,93.5,3.3,4,0.9,-0.751854982185237,22
SPRINT-001,TEAM-BETA,Frontend Web,Sprint 41.1,2026-04-06,2026-04-17,45,40,88.9,2.7,2,0.8,-1.0263349982168053,57
SPRINT-001,TEAM-BETA,Frontend Web,Sprint 41.2,2026-04-06,2026-04-17,48,44,91.7,4.5,1,0.9333333333333333,-0.2028949501221004,32
SPRINT-001,TEAM-BETA,Frontend Web,Sprint 41.3,2026-04-06,2026-04-17,32,31,96.9,3.9,1,0.5,-0.47737496615366876,12
SPRINT-001,TEAM-BETA,Frontend Web,Sprint 41.4,2026-04-06,2026-04-17,36,31,86.1,4.4,2,0.5,-0.24864161946069493,72
SPRINT-001,TEAM-BETA,Frontend Web,Sprint 41.5,2026-04-06,2026-04-17,47,43,91.5,2.5,2,0.9,-1.1178283368939947,39
SPRINT-001,TEAM-BETA,Frontend Web,Sprint 41.6,2026-04-06,2026-04-17,49,44,89.8,3.9,4,0.9333333333333333,-0.47737496615366876,53
SPRINT-001,TEAM-GAMMA,DevOps & Infra,Sprint 41.1,2026-04-06,2026-04-17,37,32,86.5,4.3,4,0.5333333333333333,-0.2943882887992899,71
SPRINT-001,TEAM-GAMMA,DevOps & Infra,Sprint 41.2,2026-04-06,2026-04-17,47,45,95.7,3.1,2,0.9666666666666667,-0.8433483208624264,13
SPRINT-001,TEAM-GAMMA,DevOps & Infra,Sprint 41.3,2026-04-06,2026-04-17,39,36,92.3,2.6,2,0.6666666666666666,-1.0720816675554,30
SPRINT-001,TEAM-GAMMA,DevOps & Infra,Sprint 41.4,2026-04-06,2026-04-17,41,40,97.6,4.3,2,0.8,-0.2943882887992899,4
SPRINT-001,TEAM-GAMMA,DevOps & Infra,Sprint 41.5,2026-04-06,2026-04-17,45,41,91.1,3.6,4,0.8333333333333334,-0.6146149741694528,43
SPRINT-001,TEAM-GAMMA,DevOps & Infra,Sprint 41.6,2026-04-06,2026-04-17,37,36,97.3,4.0,3,0.6666666666666666,-0.431628296815074,8
SPRINT-002,TEAM-ALPHA,Backend Core,Sprint 42.1,2026-04-20,2026-05-01,42,24,57.1,8.8,7,0.26666666666666666,1.7642118314374726,104
