completed_points,velocity_completion_pct,avg_cycle_time_days,bugs_logged
35,97.2,2.9,4
33,91.7,2.7,3
29,87.9,3.8,1
29,93.5,4.4,2
27,90.0,3.5,4
43,93.5,3.3,4
40,88.9,2.7,2
44,91.7,4.5,1
31,96.9,3.9,1
31,86.1,4.4,2
43,91.5,2.5,2
44,89.8,3.9,4
32,86.5,4.3,4
45,95.7,3.1,2
36,92.3,2.6,2
40,97.6,4.3,2
41,91.1,3.6,4
36,97.3,4.0,3
24,57.1,8.8,7
22,61.1,7.4,13
23,57.5,8.5,9
19,63.3,9.2,8
26,68.4,9.0,10
17,54.8,7.3,12
32,94.1,3.8,3
29,90.6,2.7,2
31,96.9,3.6,3
40,93.0,3.5,3
36,92.3,2.9,4
33,91.7,3.6,4
20,58.8,7.4,9
23,69.7,8.1,9
20,64.5,7.0,11
21,60.0,6.8,10
24,60.0,6.4,7
25,69.4,7.0,9
29,59.2,7.1,12
23,62.2,7.7,7
28,58.3,6.9,9
23,60.5,6.2,8
29,59.2,8.4,9
26,56.5,9.5,9
45,97.8,3.3,3
31,91.2,3.8,2
29,93.5,3.4,2
29,87.9,3.2,1
32,91.4,3.8,2
39,97.5,4.1,1
23,65.7,9.0,10
18,54.5,7.8,9
32,65.3,6.6,7
22,59.5,9.3,7
24,60.0,6.4,13
23,59.0,8.3,8
28,62.2,7.9,8
16,53.3,9.1,11
22,57.9,8.5,9
34,69.4,8.7,10
28,70.0,8.7,10
19,59.4,9.3,7
42,89.4,3.6,2
30,93.8,2.9,1
29,87.9,3.2,4
36,97.3,3.8,1
40,88.9,3.2,3
40,93.0,4.5,3
24,64.9,8.8,12
19,63.3,7.7,11
26,57.8,6.1,7
33,71.7,7.6,12
21,60.0,6.1,11
29,63.0,8.0,10
26,86.7,3.1,4
27,90.0,2.8,1
38,97.4,3.9,4
38,88.4,3.7,2
28,90.3,3.1,2
45,97.8,2.8,2
42,93.3,3.1,2
29,90.6,3.7,4
33,91.7,4.1,1
35,94.6,4.1,4
44,91.7,3.3,2
44,91.7,3.6,1
40,87.0,4.1,2
35,87.5,3.5,1
40,97.6,3.4,2
37,88.1,3.3,3
35,94.6,4.5,4
35,89.7,4.1,3
44,91.7,2.7,1
36,94.7,2.6,2
27,90.0,3.0,2
40,88.9,4.4,1
42,93.3,3.8,1
29,90.6,3.2,1
38,88.4,2.7,2
42,97.7,2.9,4
43,95.6,3.2,2
31,91.2,3.7,1
29,87.9,3.2,2
45,93.8,4.2,1
37,88.1,2.6,3
27,87.1,3.7,3
46,93.9,3.3,4
28,93.3,3.6,1
37,90.2,4.4,2
36,90.0,2.6,3
