blocker_id,source_type,source_id,team_id,sprint_id,date_logged,category,description,is_external_dependency,resolution_time_days,status
BLK-1001,Jira,SRC-5001,TEAM-GAMMA,SPRINT-006,2026-04-07,Cross-Team Dependency,Impediment related to cross-team dependency impacting sprint delivery.,True,1,Resolved
BLK-1002,Slack,SRC-5002,TEAM-BETA,SPRINT-006,2026-04-08,CI/CD & Pipeline,Impediment related to ci/cd & pipeline impacting sprint delivery.,False,3,Resolved
BLK-1003,Slack,SRC-5003,TEAM-GAMMA,SPRINT-005,2026-04-09,Environment & Access,Impediment related to environment & access impacting sprint delivery.,True,5,Resolved
BLK-1004,Slack,SRC-5004,TEAM-GAMMA,SPRINT-006,2026-04-10,Environment & Access,Impediment related to environment & access impacting sprint delivery.,True,8,Resolved
BLK-1005,CSV,SRC-5005,TEAM-ALPHA,SPRINT-005,2026-04-11,Cross-Team Dependency,Impediment related to cross-team dependency impacting sprint delivery.,True,2,Resolved
BLK-1006,Jira,SRC-5006,TEAM-ALPHA,SPRINT-005,2026-04-12,CI/CD & Pipeline,Impediment related to ci/cd & pipeline impacting sprint delivery.,False,3,Resolved
BLK-1007,Slack,SRC-5007,TEAM-BETA,SPRINT-001,2026-04-13,Cross-Team Dependency,Impediment related to cross-team dependency impacting sprint delivery.,True,2,Resolved
BLK-1008,CSV,SRC-5008,TEAM-ALPHA,SPRINT-006,2026-04-14,PTO / Outage,Impediment related to pto / outage impacting sprint delivery.,False,2,Resolved
BLK-1009,Slack,SRC-5009,TEAM-GAMMA,SPRINT-005,2026-04-15,Environment & Access,Impediment related to environment & access impacting sprint delivery.,True,5,Resolved
BLK-1010,Jira,SRC-5010,TEAM-ALPHA,SPRINT-006,2026-04-16,Environment & Access,Impediment related to environment & access impacting sprint delivery.,True,8,Resolved
BLK-1011,CSV,SRC-5011,TEAM-GAMMA,SPRINT-006,2026-04-17,Environment & Access,Impediment related to environment & access impacting sprint delivery.,True,5,Resolved
BLK-1012,CSV,SRC-5012,TEAM-GAMMA,SPRINT-003,2026-04-18,Environment & Access,Impediment related to environment & access impacting sprint delivery.,True,9,Resolved
BLK-1013,CSV,SRC-5013,TEAM-BETA,SPRINT-002,2026-04-19,Cross-Team Dependency,Impediment related to cross-team dependency impacting sprint delivery.,True,3,Resolved
